City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,kismayo,-0.3582,42.5454,26.14,75,51,7.11,SO,1723270989
401,aguilar de campoo,42.7945,-4.2589,19.53,54,11,1.32,ES,1723270991
402,abu zabad,12.35,29.25,24.61,72,100,3.02,SD,1723270992
403,kijang,35.2442,129.2139,27.54,71,27,5.22,KR,1723270993
404,hobyo,5.3505,48.5268,26.57,76,95,9.61,SO,1723270994
405,atoyac,20.0167,-103.5333,17.05,90,100,1.03,MX,1723270995
406,fort bragg,35.139,-79.006,24.91,95,0,0.0,US,1723270996
407,ostersund,63.1792,14.6357,13.12,89,100,5.66,SE,1723270997
408,susuman,62.7833,148.1667,23.71,31,75,7.0,RU,1723270998
409,port-gentil,-0.7193,8.7815,23.67,90,100,5.18,GA,1723270999
410,itati,-27.2704,-58.2446,6.1,68,1,0.18,AR,1723271000
411,sergeyevka,53.88,67.4158,15.19,66,95,3.51,KZ,1723271001
412,santa ana de yacuma,-13.75,-65.4333,18.09,35,100,5.33,BO,1723271003
413,bhum,18.4667,75.6667,28.08,64,90,5.7,IN,1723271004
414,balcarce,-37.8462,-58.2552,4.34,84,100,0.89,AR,1723271005
415,berdigestyakh,62.0989,126.6992,27.6,28,5,1.57,RU,1723271006
416,sitka,57.0531,-135.33,16.94,82,100,0.0,US,1723271008
417,bloemfontein,-29.1211,26.214,3.71,65,0,0.51,ZA,1723271010
418,ust'-kut,56.7938,105.7672,24.65,60,99,1.26,RU,1723271011
419,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.51,GF,1723271012
420,firuzabad,28.8438,52.5707,32.94,33,1,2.12,IR,1723271013
421,alice,27.7523,-98.0697,25.94,89,0,2.06,US,1723271015
422,jimo,36.3897,120.4622,31.88,79,0,6.0,CN,1723271016
423,usol'ye,59.4268,56.6808,16.14,62,98,0.45,RU,1723271017
424,quila,24.4228,-107.22,27.0,86,65,2.15,MX,1723271018
425,mufumbwe,-13.6833,24.8,17.39,29,0,2.72,ZM,1723271019
426,fale old settlement,-9.3852,-171.2468,27.78,79,36,5.89,TK,1723271020
427,abdurahmoni jomi,37.9464,68.8088,36.16,28,40,2.0,TJ,1723271022
428,meulaboh,4.1363,96.1285,27.08,85,85,4.15,ID,1723271023
429,faya-largeau,17.9257,19.1043,29.0,64,98,2.18,TD,1723271024
430,hwange,-18.3693,26.5019,19.99,34,0,0.45,ZW,1723271025
431,kavaratti,10.5669,72.642,27.03,83,94,5.09,IN,1723271026
432,teotitlan,18.1319,-97.0767,20.43,94,96,1.28,MX,1723271027
433,danjiangkou,32.5428,111.5086,36.05,39,49,5.47,CN,1723271028
434,durban,-29.8579,31.0292,18.65,58,0,3.29,ZA,1723271029
435,bikenibeu village,1.3673,173.1241,29.98,66,20,1.03,KI,1723271030
436,mahmutlar,36.949,36.1923,27.9,75,80,2.25,TR,1723271032
437,petrosani,45.4167,23.3667,18.68,71,58,1.96,RO,1723271033
438,nanyang,32.9947,112.5328,33.56,58,43,2.21,CN,1723271034
439,la libertad,-2.2333,-80.9,20.56,84,99,4.32,EC,1723271036
